Class Name,Image Count
Actenonyx,17
Agonocheila,24
Allocinopus,79
Amarophilus,10
Amarotypus,68
Amaroxenus,16
Anisodactylus,10
Anomotarus,32
Aulacopodus,18
Bembidion,218
Cerabilia,16
Clivina,29
Ctenognathus,166
Demetrida,77
Dicrochile,82
Diglymma,25
Duvaliomimus,46
Egadroma,16
Euthenarus,68
Gaioxenus,57
Gourlayia,16
Haplanister,119
Harpalus,29
Holcaspis,116
Hypharpax,70
Kenodactylus,20
Kiwiplatynus,74
Kiwitachys,48
Kiwitrechus,12
Kupeharpalus,20
Kupeplatynus,51
Kupetrechus,19
Laemostenus,55
Lecanomerus,84
Loxomerus,48
Maoripamborus,8
Maoritrechus,23
Maungazolus,20
Mecodema,133
Mecyclothorax,75
Megadromus,110
Meonochilus,22
Metaglymma,72
Molopsida,121
Neocicindela,137
Neoferonia,60
Nesamblyops,24
Notagonum,104
Oopterus,40
Oregus,24
Parabaris,70
Paratachys,16
Pentagonica,64
Pericompsus,20
Perigona,11
Philophlaeus,24
Pholeodytes,23
Physolaesthus,18
Platynus,20
Plocamostethus,70
Prosphodrus,72
Psegmatopterus,18
Pseudoopterus,18
Rhytisternus,61
Selenochilus,23
Syllectus,22
Synteratus,68
Tarastethus,70
Trichopsida,84
Triplosarus,20
Tuiharpalus,69
Tuiplatynus,68
Zeanillus,12
Zecicindela,146
Zeopoecilus,24
Zolus,22
