genus,nz_research,nz_licensed,global_research
Actenonyx,47,42,47
Agonocheila,53,42,64
Allocinopus,2,2,2
Amarophilus,0,0,0
Amarotypus,58,56,58
Amaroxenus,0,0,0
Anisodactylus,28,25,4100
Anomotarus,34,32,98
Aulacopodus,13,11,13
Bembidion,15,14,4605
Cerabilia,0,0,0
Clivina,58,53,1452
Ctenognathus,191,165,191
Demetrida,229,218,248
Dicrochile,12,11,12
Diglymma,6,4,6
Duvaliomimus,2,0,2
Egadroma,0,0,24
Euthenarus,14,11,23
Gaioxenus,2,2,2
Gourlayia,0,0,0
Haplanister,30,26,30
Harpalus,86,78,15475
Holcaspis,55,49,55
Hypharpax,8,8,9
Kenodactylus,1,1,1
Kiwiplatynus,76,68,76
Kiwitachys,0,0,0
Kiwitrechus,0,0,0
Kupeharpalus,0,0,0
Kupeplatynus,33,29,33
Kupetrechus,1,0,1
Laemostenus,762,695,2183
Lecanomerus,18,16,18
Loxomerus,8,8,8
Maoripamborus,2,2,2
Maoritrechus,0,0,0
Maungazolus,0,0,0
Mecodema,1088,922,1095
Mecyclothorax,17,15,20
Megadromus,1067,886,1069
Meonochilus,2,1,2
Metaglymma,82,75,84
Molopsida,15,12,15
Neocicindela,1542,1372,1543
Neoferonia,11,7,11
Nesamblyops,0,0,0
Notagonum,215,203,268
Oopterus,45,38,48
Oregus,98,90,98
Parabaris,7,5,7
Paratachys,4,3,193
Pentagonica,19,19,116
Pericompsus,13,12,20
Perigona,13,13,195
Philophlaeus,74,64,88
Pholeodytes,2,1,2
Physolaesthus,3,1,3
Platynus,19,19,7002
Plocamostethus,290,259,290
Prosphodrus,6,4,6
Psegmatopterus,2,2,2
Pseudoopterus,12,12,12
Rhytisternus,10,10,10
Selenochilus,4,0,4
Syllectus,0,0,0
Synteratus,0,0,0
Tarastethus,3,3,3
Trichopsida,3,3,3
Triplosarus,4,3,4
Tuiharpalus,1,1,1
Tuiplatynus,0,0,0
Zeanillus,0,0,0
Zecicindela,102,92,102
Zeopoecilus,10,9,10
Zolus,17,17,17
